word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
whose,0,0,0,0,0,0,0.00044568245,0,0,0.0024345198,0,0,0.0010833258,0,0,0,0,0,0.00067542214,0.0024070607,0,0,0.000093940817,0,0.0030927835
america,0,0.0023086789,0.02177626,0,0,0,0,0.029034622,0.0032934651,0.016286098,0,0,0,0,0,0,0.00042799058,0,0,0,0.0060114504,0,0,0.0079887725,0
owes,0,0,0,0,0,0,0,0,0,0.00016789792,0,0,0,0,0,0.00011745361,0,0,0,0,0,0,0,0,0.00057273769
herself,0,0,0,0,0,0,0,0,0,0.00033579584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mankind,0,0,0,0,0,0,0,0,0,0,0,0.00092272203,0.0003611086,0,0,0,0,0,0,0.0034768655,0,0,0,0,0.00022909507
such,0.0039812879,0,0,0.0071730734,0,0.0050354772,0.0042339833,0,0,0,0,0,0.015617947,0.0043012566,0.0022419011,0,0,0,0.014409006,0,0,0,0,0,0
amazed,0.0001990644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anxious,0,0,0,0,0.00068929864,0,0,0,0,0,0,0,0,0,0,0,0.00042799058,0,0,0,0,0,0,0,0
interrupted,0,0,0,0,0,0,0,0,0,0,0,0,0.00045138575,0,0,0,0,0,0,0,0,0,0.00018788163,0,0
means,0,0.0048738777,0,0,0.0030156815,0,0,0,0,0,0.0025759918,0,0.0028888688,0,0.0030265665,0,0,0,0.0028517824,0.0016047071,0.0015267176,0,0,0,0.002978236
trade,0,0,0,0,0,0,0.01448468,0.013372413,0,0,0,0,0,0.0002530151,0,0,0,0.0071428571,0,0,0,0,0,0,0
processes,0,0,0,0,0,0,0.0013370474,0,0,0,0,0,0.0014444344,0,0,0,0,0,0,0,0,0.00085251492,0,0,0
production,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059036856,0,0,0,0,0.0012007505,0,0,0.0013853367,0.02527008,0,0
europe,0,0.001368106,0,0,0,0,0,0.004121634,0,0.00058764271,0,0,0,0,0,0,0,0.016589862,0,0,0,0,0,0,0
destroying,0.00049766099,0,0,0,0,0,0,0,0,0,0,0.00034602076,0.00045138575,0,0,0,0,0,0,0,0,0,0,0,0
resources,0,0,0,0,0.0039634672,0.021286336,0.0037883008,0,0,0,0,0,0,0,0,0,0,0,0.0028517824,0,0,0.0020247229,0,0,0
wholesale,0,0,0,0,0,0,0,0,0,0,0.00038639876,0,0,0,0,0,0.00074898352,0,0,0,0,0,0,0,0
scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012839718,0,0,0,0,0,0.0021606388,0,0
unprecedented,0.00069672539,0,0,0,0.00094778563,0,0,0,0,0,0,0,0,0,0,0.0017618041,0,0.0012672811,0,0,0,0,0,0,0
appalling,0.00049766099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reason,0,0,0.0010247652,0,0.0016370843,0,0.00044568245,0.001373878,0,0,0,0,0,0,0,0,0,0,0.0013508443,0,0,0,0,0,0
